category_id,item_name
1,たまねぎ
1,じゃがいも
1,さつまいも
1,里芋
1,れんこん
1,ごぼう
1,かぼちゃ
1,にんじん
1,だいこん
1,かぶ
1,トマト
1,なす
1,きゅうり
1,ねぎ
1,ピーマン
1,パプリカ
1,カット野菜
1,キャベツ
1,レタス
1,白菜
1,小松菜
1,ブロッコリー
1,ほうれん草
1,ニラ
1,アスパラガス
1,いんげん
1,オクラ
1,しそ
1,しょうが
1,にんにく
1,もやし
1,しいたけ
1,しめじ
1,えのき
1,なめこ
1,きくらげ
2,鶏肉
2,豚肉
2,牛肉
2,ひき肉
2,ウインナー
2,ベーコン
2,ハム
3,刺身
3,エビ
3,サケ
3,さば
3,たらこ
3,イカ
3,昆布
3,しらす
3,かにかま
3,かまぼこ
3,ちくわ
3,もずく
3,めかぶ
4,牛乳
4,生クリーム
4,バター
4,ヨーグルト
4,スライスチーズ
4,ピザ用チーズ
4,卵
5,豆腐
5,納豆
5,油揚げ
6,冷凍パスタ
6,ミックスベジタブル
6,ほうれん草
6,ブロッコリー
6,お弁当のおかず
7,ピザ
7,スープ
7,餃子
7,しゅうまい
7,春巻
7,ワンタン
7,ハンバーグ
7,肉団子
7,チキンナゲット
7,サラダ
8,米
8,餅
9,パン
9,ジャム
9,はちみつ
9,シリアル
9,栄養ドリンク
9,栄養補助食品
9,スープ
10,うどん
10,そば
10,そうめん
10,スパゲティ
10,マカロニ
11,袋麺
11,カップ麺
11,スープ
11,味噌汁
11,ルウ
11,レトルト
11,パスタソース
11,コーヒー
11,ココア
11,紅茶
12,鮭フレーク
12,ツナ缶
12,コーン缶
12,トマト缶
12,鯖缶
12,のりの佃煮
13,カシューナッツ
13,わかめ
13,ひじき
13,はるさめ
13,のり
13,鰹節
13,ごま
14,塩
14,砂糖
14,小麦粉
14,パン粉
14,片栗粉
14,みそ
14,醤油
14,みりん
14,酒
14,ワイン
14,酢
14,レモン汁
14,ぽん酢
14,めんつゆ
14,サラダ油
14,オリーブ油
14,ごま油
14,ドレッシング
14,焼肉のたれ
14,ソース
14,ケチャップ
14,マヨネーズ
14,マスタード
14,オイスターソース
14,豆板醤
14,コチュジャン
14,鶏がらスープ
14,コンソメ
14,だし粉
14,わさびチューブ
14,しょうがチューブ
14,にんにくチューブ
14,こしょう
14,うま味調味料
14,唐辛子
14,柚子こしょう
14,ラー油
15,茶
15,ジュース
15,水
16,朝食
16,昼食
16,夕食
17,ラップ
17,アルミホイル
17,フリーザーバッグ
17,ビニール袋
17,キッチンペーパー
17,スポンジ
17,台所用洗剤
17,水切りネット
17,排水口水切りネット
17,台所用漂白剤
17,アルコール
17,クレンザー
17,重曹
17,パイプ用洗浄剤
18,ハンドソープ
18,ハブラシ
18,歯磨き粉
19,シャンプー
19,コンディショナー
19,ボディソープ
19,風呂用洗剤
20,クレンジング
20,洗顔料
20,化粧水
20,保湿液
20,ハンドクリーム
21,洗剤
21,柔軟剤
21,漂白剤
21,おしゃれ着用洗剤
22,トイレ用洗剤
22,拭き取りクリーナー
22,消臭剤
22,ﾄｲﾚｯﾄﾍﾟｰﾊﾟｰ
22,エチケット袋
23,靴消臭剤
23,消臭剤
24,ティッシュペーパー
24,ウェットティッシュ
24,ファブリーズ
24,ﾌﾛｰﾘﾝｸﾞﾜｲﾊﾟｰｼｰﾄ
24,ごみぶくろ
25,餌
25,トイレ
26,下着
26,靴下
26,ほか
28,ペンの替芯
28,消しゴム
28,セロハンテープ
28,ホチキス芯
28,輪ゴム
28,クリップ
28,ノート
